slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
deer-crest,Deer Crest,/deer-crest.php,deer crest,,290,6/101/103/80,0
lakeview-168,Lakeview 168,/lakeview-168.php,lakeview 168 | lakeview 168 replat 1,,230,34/54/66/76,1
somerset,Somerset,/somerset.php,somerset | somerset 2 | somerset lot 220 block 0 irreg | somerset lot 55 block 0 56x120,,226,103/58/24/41,3
woodbrook,Woodbrook,/woodbrook.php,woodbrook,,223,42/47/74/60,0
harrison-210,Harrison 210,/harrison-210.php,harrison 210,,202,47/54/59/42,0
benson,Benson,/benson.php,benson | benson lot | benson lot w 50 e 450 s 300 ft 50 x 300 | benson replat 9,,198,60/47/42/49,3
sumtur-crossing,Sumtur Crossing,/sumtur-crossing.php,sumtur crossing | sumtur crossing replat 2,,197,45/56/43/53,1
bellevue,Bellevue,/bellevue.php,bellevue | bellevue block,"City/area page: MLS plat of the same name is only the original town, not the whole city",191,39/38/55/59,1
pioneer-view,Pioneer View,/pioneer-view.php,pioneer view,,181,45/43/48/45,0
la-vista,La Vista,/la-vista.php,la vista | la vista replat | la vista replat ii,"City/area page: MLS plat of the same name is only the original town, not the whole city",180,39/40/51/50,2
hillsborough,Hillsborough,/hillsborough.php,hillsborough | hillsborough lot | hillsborough rep 24* | hillsborough replat iii,,174,52/45/27/50,3
remington-west,Remington West,/remington-west.php,remington west,,173,26/56/54/37,0
maple-village,Maple Village,/maple-village.php,maple village | maple village replat | maple village replat ii | maple village replat nine,,172,41/47/36/48,3
highland-hills,Highland Hills,/highland-hills.php,highland hills | highland hills lot 37 block 0 lt 37,,168,81/28/35/24,1
hills-of-aspen-creek,Hills Of Aspen Creek,/hills-of-aspen-creek.php,hills of aspen creek | hills of aspen creek replat 1,,167,50/46/42/29,1
blue-sage-creek,Blue Sage Creek,/blue-sage-creek.php,blue sage creek | blue sage creek 2 | blue sage creek 3 | blue sage creek ii | blue sage creek phase 2,,162,34/47/42/39,4
arbor-gate,Arbor Gate,/arbor-gate.php,arbor gate,,159,46/43/26/44,0
westbury-creek,Westbury Creek,/westbury-creek.php,westbury creek,,151,51/29/32/39,0
westgate,Westgate,/westgate.php,westgate | westgate add | westgate add lot 894 block 0 irreg | westgate add. 2 | westgate addition,,150,47/33/31/39,4
harvest-hills,Harvest HIlls,/harvest-hills.php,harvest hills,,148,30/48/43/27,0
willow-wood,Willow Wood,/willow-wood.php,willow wood | willow wood lot 381 block 0 80 x 80 | willow wood lot 460 block 0 irreg | willow wood subdivision,,148,40/32/36/40,3
lions-gate,Lions Gate,/lions-gate.php,lions gate,,146,44/44/46/12,0
granite-falls-north,GRANITE FALLS NORTh,/granite-falls-north.php,granite falls north,,144,26/39/30/49,0
indian-pointe,Indian Pointe,/indian-pointe.php,indian pointe,,143,58/27/41/17,0
halcyon-heights,Halcyon Heights,/halcyon-heights.php,halcyon heights,,143,45/35/29/34,0
stone-ridge,Stone Ridge,/stone-ridge.php,stone ridge | stone ridge rep 2 | stone ridge rep 5 | stone ridge rep 5 lot 103 block 0 55.50/115,,141,44/28/38/31,3
southern-pointe,Southern Pointe,/southern-pointe.php,southern pointe,,141,50/49/31/11,0
newport-vista,NewPort Vista,/newport-vista.php,newport vista | newport vista ii,,139,36/36/31/36,1
millard-highlands-south,Millard Highlands South,/millard-highlands-south.php,millard highlands south | millard highlands south ii | millard highlands south ii replat | millard highlands south iii | millard highlands south replat | millard highlands south replat ii | millard highlands south replat iv,,135,39/33/30/33,6
vistancia,Vistancia,/vistancia.php,vistancia,,131,61/43/13/14,0
overland-hills,Overland Hills,/overland-hills.php,overland hills | overland hills ii | overland hills iii | overland hills iv | overland hills v | overland hills vi,,130,44/23/32/31,5
granite-lake,Granite Lake,/granite-lake.php,granite lake | granite lake 2,,129,60/27/20/22,1
wood-valley,Wood Valley,/wood-valley.php,wood valley | wood valley rep 1 | wood valley rep 2 | wood valley rep 2 lot 51 block 0 irreg | wood valley replat 2 | wood valley replat 4 | wood valley replat 5,,128,40/25/21/42,6
westbury-farm,Westbury Farm,/westbury-farm.php,westbury farm,,124,50/35/27/12,0
rambleridge,RambleRidge,/rambleridge.php,rambleridge | rambleridge rep 111 | rambleridge replat | rambleridge replat v,,124,43/30/26/25,3
millard-highlands,Millard Highlands,/millard-highlands.php,millard highlands | millard highlands ii | millard highlands replat | millard highlands replat ii | millard highlands replat iii | millard highlands replat iv,,123,40/26/31/26,5
clearwater-falls,Clearwater Falls,/clearwater-falls.php,clearwater falls,,123,44/21/36/22,0
harrison-park,Harrison Park,/harrison-park.php,harrison park | harrison park rep 2 | harrison park replat | harrison park replat one,,122,38/25/28/31,3
glenmoor,Glenmoor,/glenmoor.php,"glenmoor | glenmoor lot 438 block 0, douglas co., ne",,122,40/28/33/21,1
leawood-oaks,LEAWOOD Oaks,/leawood-oaks.php,leawood oaks | leawood oaks 3 | leawood oaks ii | leawood oaks iii,,121,23/34/32/32,3
lakewood-villages,Lakewood Villages,/lakewood-villages.php,lakewood villages,,120,41/26/29/24,0
springhill,SpringHill,/springhill.php,springhill,,119,29/32/21/37,0
harvey-oaks,Harvey Oaks,/harvey-oaks.php,harvey oaks | harvey oaks iii | harvey oaks replat,,119,31/27/27/34,2
ashbury-creek,Ashbury Creek,/ashbury-creek.php,ashbury creek | ashbury creek 2 | ashbury creek 2 approx. 1 mile south of hwy 370 on 114th st. | ashbury creek phase 2,,117,30/32/39/16,3
shadow-lake,Shadow Lake,/shadow-lake.php,shadow lake | shadow lake 2 northwest corner of 72nd st and capehart rd.,,116,32/23/31/30,1
lakeview,Lakeview,/lakeview.php,lakeview | lakeview 168 replat 1 | lakeview addition | lakeview replat 1 | lakeview subdivision,,115,46/35/20/14,4
pepperwood,Pepperwood,/pepperwood.php,pepperwood | pepperwood lot 674 block 0 irreg | pepperwood lot 91 block 0,,114,26/22/29/37,2
hickory-ridge,Hickory Ridge,/hickory-ridge.php,hickory ridge,,114,28/26/29/31,0
westin-hills,Westin Hills,/westin-hills.php,westin hills | westin hills lot | westin hills rep forty eight* | westin hills replat fifty nine,,112,33/25/29/25,3
meadow-ridge,Meadow Ridge,/meadow-ridge.php,meadow ridge | meadow ridge rep 1 | meadow ridge rep 1*,,112,36/25/23/28,2
quail-run,Quail Run,/quail-run.php,quail run | quail run l 259 b 0 irreg,,110,37/22/19/32,1
coyote-run,Coyote Run,/coyote-run.php,coyote run,,110,49/13/18/30,0
belle-lago,Belle Lago,/belle-lago.php,belle lago,,109,36/22/20/31,0
hyda-hills-2,Hyda Hills 2,/hyda-hills-2.php,hyda hills 2,,108,23/31/27/27,0
whitetail-creek,WhiteTail Creek,/whitetail-creek.php,whitetail creek,,108,29/28/32/19,0
river-oaks,River Oaks,/river-oaks.php,river oaks | river oaks replat 3 | river oaks replat 6,,107,57/22/18/10,2
summit-ridge,Summit Ridge,/summit-ridge.php,summit ridge | summit ridge replat four | summit ridge replat one,,107,29/28/26/24,2
aspen-creek-north,Aspen Creek North,/aspen-creek-north.php,aspen creek north | aspen creek north 2 | aspen creek north phase 2 | aspen creek north phase ii,,106,9/34/30/33,3
cattail-creek,Cattail Creek,/cattail-creek.php,cattail creek | cattail creek iii | cattail creek rep 2 | cattail creek rep 2* | cattail creek rep 3* | cattail creek replat one,,105,32/22/22/29,5
