subdivision_key,sales_2022,sales_2023,sales_2024,sales_2025,sales_total,raw_spellings
deer crest,6,101,103,80,290,DEER CREST | Deer Crest
lakeview 168,33,54,66,76,229,LAKEVIEW 168 | Lakeview 168
woodbrook,42,47,74,60,223,WOODBROOK | Woodbrook
lands,56,50,46,56,208,LANDS | Lands | lands
harrison 210,47,54,59,42,202,HARRISON 210 | Harrison 210
benson,57,47,42,49,195,BENSON | Benson
dundee place,56,37,53,46,192,DUNDEE PLACE | Dundee Place | Dundee place
bellevue,39,37,55,59,190,BELLEVUE | Bellevue
sumtur crossing,45,55,41,47,188,SUMTUR CROSSING | Sumtur Crossing
pioneer view,45,43,48,45,181,PIONEER VIEW | Pioneer View
remington west,26,56,54,37,173,REMINGTON WEST | Remington West
hillsborough,51,44,27,47,169,HILLSBOROUGH | Hillsborough
highland hills,81,27,35,24,167,HIGHLAND HILLS | Highland Hills
maple village,40,46,34,46,166,MAPLE VILLAGE | Maple Village
hills of aspen creek,50,46,42,28,166,HILLS OF ASPEN CREEK | Hills Of Aspen Creek | Hills of Aspen Creek
arbor gate,46,43,26,44,159,ARBOR GATE | Arbor Gate | Arbor gate
westwood heights,41,40,40,32,153,WESTWOOD HEIGHTS | Westwood Heights | westwood heights
westbury creek,51,29,32,39,151,WESTBURY CREEK | Westbury Creek
harvest hills,30,48,43,27,148,HARVEST HILLS | Harvest HIlls | Harvest Hills
lions gate,44,44,46,12,146,LIONS GATE | Lions Gate
willow wood,40,30,36,39,145,WILLOW WOOD | Willow Wood
granite falls north,26,39,30,49,144,GRANITE FALLS NORTH | GRANITE FALLS NORTh | Granite Falls North | Granite falls north
indian pointe,58,27,41,17,143,INDIAN POINTE | Indian Pointe
halcyon heights,45,35,29,34,143,HALCYON HEIGHTS | Halcyon Heights
southern pointe,50,49,31,11,141,SOUTHERN POINTE | Southern Pointe
newport vista,36,36,31,35,138,NEWPORT VISTA | NewPort Vista | Newport Vista
midtown crossing,49,31,25,28,133,MIDTOWN CROSSING | Midtown Crossing
somerset,45,34,19,34,132,SOMERSET | Somerset | somerset
vistancia,61,43,13,14,131,VISTANCIA | Vistancia
stone ridge,42,27,35,27,131,STONE RIDGE | Stone Ridge
blue sage creek,31,36,38,22,127,BLUE SAGE CREEK | Blue Sage Creek
westgate,40,29,27,29,125,WESTGATE | Westgate
minne lusa,41,36,25,22,124,MINNE LUSA | Minne Lusa
westbury farm,50,35,27,12,124,WESTBURY FARM | Westbury Farm | Westbury farm
clearwater falls,44,21,36,22,123,CLEARWATER FALLS | Clearwater Falls | Clearwater falls
glenmoor,39,28,33,21,121,GLENMOOR | Glenmoor
rambleridge,41,30,26,23,120,RAMBLERIDGE | RambleRidge | Rambleridge
lakewood villages,41,26,29,24,120,LAKEWOOD VILLAGES | Lakewood Villages | lakewood villages
springhill,29,32,21,37,119,SPRINGHILL | SpringHill | Springhill | springhill
schram 108,0,0,37,81,118,SCHRAM 108 | Schram 108
granite lake,50,26,20,21,117,GRANITE LAKE | Granite Lake
shadow lake,32,22,31,30,115,SHADOW LAKE | Shadow Lake | Shadow lake
wood valley,38,24,14,38,114,WOOD VALLEY | Wood Valley
hickory ridge,28,26,29,31,114,HICKORY RIDGE | Hickory Ridge
pepperwood,26,22,27,37,112,PEPPERWOOD | Pepperwood
millard highlands,38,22,31,20,111,MILLARD HIGHLANDS | Millard Highlands
harrison park,37,24,27,23,111,HARRISON PARK | Harrison Park | harrison park
coyote run,49,13,18,30,110,COYOTE RUN | Coyote Run
lakeview,43,34,19,14,110,LAKEVIEW | Lakeview | lakeview
quail run,36,22,19,32,109,QUAIL RUN | Quail Run
belle lago,36,22,20,31,109,BELLE LAGO | Belle Lago
westin hills,33,25,26,25,109,WESTIN HILLS | Westin Hills
ashbury creek,24,31,37,16,108,ASHBURY CREEK | Ashbury Creek
whitetail creek,29,28,32,19,108,WHITETAIL CREEK | WhiteTail Creek | Whitetail Creek
hyda hills 2,23,31,27,27,108,HYDA HILLS 2 | Hyda Hills 2
la vista,27,27,27,27,108,LA VISTA | La Vista | La vista
meadow ridge,34,25,23,26,108,MEADOW RIDGE | Meadow Ridge | Meadow ridge
river oaks,55,22,18,10,105,RIVER OAKS | River Oaks
south omaha city lots,32,17,26,30,105,SOUTH OMAHA CITY LOTS | South Omaha City Lots | south omaha city lots
the grove,36,23,25,21,105,THE GROVE | The Grove | the grove
summit ridge,29,27,25,24,105,SUMMIT RIDGE | Summit Ridge
harvey oaks,26,26,22,27,101,HARVEY OAKS | Harvey Oaks | Harvey oaks
aspen creek north,9,32,28,32,101,ASPEN CREEK NORTH | Aspen Creek North
remington ridge,32,33,20,15,100,REMINGTON RIDGE | Remington Ridge
whitehawk,30,23,25,18,96,WHITEHAWK | WhiteHawk | Whitehawk
cattail creek,32,21,19,24,96,CATTAIL CREEK | Cattail Creek
